                                     Texto 1  Texto 2  Texto 3
ignoramos[vamos[a]]                  0.00000  0.30103  0.00000
ignoramos[vamos[que]]                0.00000  0.30103  0.00000
ignoramos[vamos[vez]]                0.00000  0.30103  0.00000
incluir[\\,,proteínas]               0.00000  0.00000  0.30103
incluir[carbohidratos,evitar]        0.00000  0.00000  0.30103
incluir[carbohidratos[cereales]]     0.00000  0.00000  0.30103
incluir[evitar[\\,]]                 0.00000  0.00000  0.30103
incluir[evitar[harinas]]             0.00000  0.00000  0.30103
incluir[evitar[incluir]]             0.00000  0.00000  0.30103
incluir[proteínas[vegetales]]        0.00000  0.00000  0.30103
incluir[siempre,carbohidratos]       0.00000  0.00000  0.30103
incluir[siempre,evitar]              0.00000  0.00000  0.30103
inmortales[:,\\,]                    0.00000  0.30103  0.00000
inmortales[:,eterna]                 0.00000  0.30103  0.00000
inmortales[:,no]                     0.00000  0.30103  0.00000
inmortales[:,somos]                  0.00000  0.30103  0.00000
inmortales[\\,,eterna]               0.00000  0.30103  0.00000
inmortales[eterna[en]]               0.00000  0.30103  0.00000
inmortales[eterna[es]]               0.00000  0.30103  0.00000
inmortales[eterna[estética]]         0.00000  0.30103  0.00000
inmortales[eterna[no]]               0.00000  0.30103  0.00000
inmortales[eterna[vida]]             0.00000  0.30103  0.00000
inmortales[ignoramos,...]            0.00000  0.30103  0.00000
inmortales[ignoramos[solo]]          0.00000  0.30103  0.00000
inmortales[ignoramos[vamos]]         0.00000  0.30103  0.00000
inmortales[no,\\,]\t                 0.00000  0.30103  0.00000
inmortales[no,eterna]                0.00000  0.30103  0.00000
inmortales[no,somos]                 0.00000  0.30103  0.00000
inmortales[somos,...]                0.00000  0.30103  0.00000
inmortales[somos,\\,]                0.00000  0.30103  0.00000
inmortales[somos,eterna]             0.00000  0.30103  0.00000
inmortales[somos,ignoramos]          0.00000  0.30103  0.00000
la[parece[cortar]]                   0.30103  0.00000  0.00000
leer[dentro[nosotros]]               0.30103  0.00000  0.00000
maestro[aquel[.]]                    0.30103  0.00000  0.00000
maestro[aquel[;]]                    0.30103  0.00000  0.00000
maestro[aquel[\\,]]                  0.30103  0.00000  0.00000
maestro[aquel[bueno]]                0.30103  0.00000  0.00000
maestro[aquel[sonreía]]              0.30103  0.00000  0.00000
maestro[el,aquel]                    0.30103  0.00000  0.00000
maestro[el[mismo]]                   0.30103  0.00000  0.00000
mejor[\\,,es]                        0.00000  0.00000  0.30103
mejor[\\,,evitar]                    0.00000  0.00000  0.30103
mejor[\\,,pero]                      0.00000  0.00000  0.30103
mejor[\\,,“]                         0.00000  0.00000  0.30103
mejor[es,evitar]                     0.00000  0.00000  0.30103
mejor[evitar[algunas]]               0.00000  0.00000  0.30103
mejor[evitar[consumir]]              0.00000  0.00000  0.30103
mejor[pero,es]                       0.00000  0.00000  0.30103
mejor[pero,evitar]                   0.00000  0.00000  0.30103
mejor[“,es]                          0.00000  0.00000  0.30103
mejor[“,evitar]                      0.00000  0.00000  0.30103
mejor[“,pero]                        0.00000  0.00000  0.30103
mente[en,su]                         0.00000  0.30103  0.00000
mira[fijamente,quisiera]             0.30103  0.00000  0.00000
mira[nos,fijamente]                  0.30103  0.00000  0.00000
mira[nos,quisiera]                   0.30103  0.00000  0.00000
mira[nos,todos]                      0.30103  0.00000  0.00000
mira[quisiera[;]]                    0.30103  0.00000  0.00000
mira[quisiera[\\,]]                  0.30103  0.00000  0.00000
mira[quisiera[como]]                 0.30103  0.00000  0.00000
mira[quisiera[leer]]                 0.30103  0.00000  0.00000
mira[quisiera[si]]                   0.30103  0.00000  0.00000
mira[todos,fijamente]                0.30103  0.00000  0.00000
mira[todos,quisiera]                 0.30103  0.00000  0.00000
mira[todos[a]]                       0.30103  0.00000  0.00000
mira[todos[uno]]                     0.30103  0.00000  0.00000
mira[y,fijamente]                    0.30103  0.00000  0.00000
mira[y,nos]                          0.30103  0.00000  0.00000
mira[y,quisiera]                     0.30103  0.00000  0.00000
mira[y,todos]                        0.30103  0.00000  0.00000
