                      Texto 1   Texto 2   Texto 3
gris                 0.301030  0.000000  0.000000
guardias             0.301030  0.000000  0.000000
gustado              0.301030  0.000000  0.000000
ha                   0.301030  0.000000  0.000000
hab                  0.477121  0.477121  0.000000
habla                0.000000  0.301030  0.000000
hablaban             0.301030  0.000000  0.000000
harinas              0.000000  0.000000  0.301030
has                  0.000000  0.301030  0.000000
hasta                0.000000  0.000000  0.301030
hay                  0.000000  0.000000  0.301030
he                   0.301030  0.000000  0.000000
hermanito            0.301030  0.000000  0.000000
hermanos             0.000000  0.301030  0.000000
hicieron             0.301030  0.000000  0.000000
hijos                0.301030  0.000000  0.000000
hombres              0.000000  0.301030  0.000000
hombro               0.301030  0.000000  0.000000
hormigueaban         0.301030  0.000000  0.000000
hormona              0.000000  0.000000  0.301030
humano               0.000000  0.301030  0.000000
humanos              0.000000  0.301030  0.000000
humedad              0.000000  0.301030  0.000000
iba                  0.301030  0.000000  0.000000
iban                 0.301030  0.000000  0.000000
idea                 0.000000  0.000000  0.477121
ideal                0.000000  0.000000  0.301030
ignoramos            0.000000  0.301030  0.000000
ignoran              0.000000  0.477121  0.000000
imagen               0.000000  0.301030  0.000000
importancia          0.000000  0.000000  0.301030
imposible            0.000000  0.000000  0.301030
imposibles           0.000000  0.301030  0.000000
incluir              0.000000  0.000000  0.477121
ines                 0.301030  0.000000  0.000000
inmortales           0.000000  0.698970  0.000000
inscribirme          0.301030  0.000000  0.000000
instintos            0.000000  0.301030  0.000000
insulina             0.000000  0.000000  0.477121
insulinodependiente  0.000000  0.000000  0.301030
integrales           0.000000  0.000000  0.477121
introduc             0.301030  0.000000  0.000000
introducci           0.000000  0.000000  0.301030
is                   0.301030  0.301030  0.000000
jovial               0.301030  0.000000  0.000000
juntos               0.301030  0.000000  0.000000
l                    0.301030  0.000000  0.000000
la                   1.380211  1.176091  1.380211
lado                 0.000000  0.000000  0.477121
largo                0.000000  0.301030  0.000000
las                  1.041393  0.954243  0.845098
le                   0.301030  0.477121  0.000000
lecciones            0.301030  0.000000  0.000000
lector               0.000000  0.000000  0.301030
leer                 0.301030  0.000000  0.000000
