                      Texto 1   Texto 2   Texto 3
dilatarlos           0.000000  0.143628  0.000000
director             0.143628  0.000000  0.000000
disciplina           0.000000  0.000000  0.143628
disciplinas          0.000000  0.000000  0.143628
discursos            0.000000  0.000000  0.143628
disimulo             0.000000  0.143628  0.000000
disminuye            0.000000  0.000000  0.143628
divide               0.000000  0.143628  0.000000
do                   0.000000  0.227645  0.000000
dom                  0.000000  0.227645  0.000000
don                  0.000000  0.143628  0.000000
donde                0.227645  0.000000  0.000000
dos                  0.053009  0.084017  0.000000
dulce                0.000000  0.000000  0.143628
dulces               0.000000  0.000000  0.143628
duramente            0.000000  0.143628  0.000000
durante              0.143628  0.000000  0.000000
e                    0.227645  0.000000  0.000000
ejemplo              0.000000  0.287256  0.000000
ejemplos             0.000000  0.000000  0.143628
el                   0.000000  0.000000  0.000000
elemental            0.143628  0.000000  0.000000
eleva                0.000000  0.000000  0.143628
ella                 0.143628  0.000000  0.000000
ellos                0.000000  0.000000  0.000000
embargo              0.143628  0.000000  0.000000
emisor               0.000000  0.143628  0.000000
empellones           0.143628  0.000000  0.000000
en                   0.000000  0.000000  0.000000
encabrit             0.143628  0.000000  0.000000
encontr              0.143628  0.000000  0.000000
encrespado           0.143628  0.000000  0.000000
encuentran           0.000000  0.084017  0.053009
encuentro            0.143628  0.000000  0.000000
energ                0.000000  0.000000  0.143628
enfermedad           0.000000  0.000000  0.143628
enmara               0.143628  0.000000  0.000000
enormemente          0.000000  0.000000  0.143628
enrique              0.287256  0.000000  0.000000
entonces             0.000000  0.000000  0.143628
entramos             0.143628  0.000000  0.000000
entrar               0.227645  0.000000  0.000000
entre                0.084017  0.106018  0.000000
entusiastas          0.000000  0.143628  0.000000
era                  0.084017  0.084017  0.000000
eran                 0.143628  0.000000  0.000000
ero                  0.143628  0.000000  0.000000
es                   0.000000  0.000000  0.000000
escaleras            0.143628  0.000000  0.000000
escapaban            0.143628  0.000000  0.000000
escribe              0.000000  0.000000  0.143628
escuchas             0.000000  0.000000  0.143628
escuela              0.287256  0.000000  0.000000
ese                  0.000000  0.143628  0.000000
eso                  0.000000  0.000000  0.143628
especialmente        0.000000  0.000000  0.143628
espesura             0.000000  0.143628  0.000000
espinosos            0.000000  0.143628  0.000000
est                  0.000000  0.084017  0.137026
esta                 0.000000  0.000000  0.000000
estaba               0.287256  0.000000  0.000000
estaban              0.143628  0.000000  0.000000
estaciones           0.000000  0.143628  0.000000
estampa              0.000000  0.143628  0.000000
este                 0.000000  0.000000  0.000000
esto                 0.000000  0.053009  0.084017
estructurados        0.000000  0.000000  0.143628
estudiaremos         0.143628  0.000000  0.000000
eterna               0.000000  0.143628  0.000000
evitar               0.000000  0.000000  0.287256
ex                   0.143628  0.000000  0.000000
excursionistas       0.000000  0.143628  0.000000
exist                0.000000  0.143628  0.000000
experta              0.000000  0.000000  0.143628
explica              0.000000  0.000000  0.143628
explicativa          0.000000  0.000000  0.143628
expone               0.000000  0.000000  0.143628
exponen              0.000000  0.000000  0.143628
exponerla            0.000000  0.000000  0.143628
exposici             0.000000  0.000000  0.143628
falanges             0.000000  0.143628  0.000000
fatigas              0.143628  0.000000  0.000000
favor                0.000000  0.000000  0.143628
favorito             0.000000  0.143628  0.000000
ficos                0.000000  0.000000  0.143628
fijamente            0.143628  0.000000  0.000000
fin                  0.053009  0.053009  0.000000
finalidad            0.000000  0.000000  0.143628
fing                 0.000000  0.143628  0.000000
