      Texto 1   Texto 2   Texto 3
dom  0.301030  0.602060  0.000000
don  0.477121  0.602060  0.000000
dop  0.477121  0.301030  0.477121
doq  0.301030  0.301030  0.000000
dor  0.000000  0.301030  0.000000
dos  1.041393  0.845098  0.602060
dot  0.301030  0.000000  0.000000
dou  0.301030  0.000000  0.301030
dqu  0.301030  0.000000  0.000000
dra  0.000000  0.301030  0.602060
dre  0.845098  0.000000  0.000000
dst  0.000000  0.000000  0.301030
duc  0.477121  0.000000  0.602060
dul  0.000000  0.000000  0.477121
dun  0.000000  0.301030  0.000000
dur  0.301030  0.301030  0.000000
dyp  0.000000  0.000000  0.301030
eab  0.301030  0.301030  0.000000
eac  0.602060  0.000000  0.000000
ead  0.477121  0.477121  0.000000
eae  0.301030  0.000000  0.000000
eah  0.301030  0.301030  0.000000
eal  0.000000  0.778151  0.698970
eam  0.000000  0.301030  0.301030
ean  0.000000  0.301030  0.000000
eao  0.301030  0.000000  0.000000
eap  0.301030  0.000000  0.301030
eaq  0.301030  0.000000  0.000000
ear  0.000000  0.000000  0.602060
eas  0.000000  0.301030  0.477121
eat  0.477121  0.000000  0.000000
eay  0.301030  0.000000  0.000000
eaz  0.000000  0.000000  0.301030
ebe  0.000000  0.000000  0.477121
ebi  0.000000  0.301030  0.301030
ebl  0.301030  0.477121  0.000000
ebr  0.000000  0.602060  0.000000
ebu  0.000000  0.301030  0.301030
eca  0.602060  0.778151  0.301030
ecc  0.602060  0.000000  0.000000
ece  0.477121  0.477121  0.698970
ech  0.000000  0.301030  0.000000
eci  0.845098  0.301030  0.477121
ecl  0.477121  0.000000  0.000000
eco  0.477121  0.477121  0.698970
ect  0.477121  0.000000  0.301030
ecu  0.477121  0.301030  0.301030
eda  0.000000  0.301030  0.602060
ede  0.903090  0.301030  1.079181
edi  0.477121  0.602060  0.301030
edo  0.000000  0.602060  0.000000
edr  0.000000  0.301030  0.000000
eej  0.000000  0.301030  0.301030
eel  0.698970  0.602060  0.903090
een  0.477121  0.698970  0.301030
eer  0.301030  0.000000  0.000000
ees  0.477121  0.698970  0.903090
eex  0.000000  0.000000  0.477121
efe  0.301030  0.000000  0.000000
efi  0.000000  0.301030  0.301030
efr  0.000000  0.000000  0.477121
efu  0.301030  0.000000  0.477121
ega  0.301030  0.000000  0.477121
ege  0.000000  0.000000  0.477121
egi  0.000000  0.477121  0.000000
egl  0.000000  0.000000  0.301030
ego  0.000000  0.301030  0.000000
egr  0.301030  0.000000  0.477121
egu  0.477121  0.301030  0.000000
eha  0.602060  0.301030  0.301030
ehi  0.301030  0.000000  0.000000
eib  0.301030  0.000000  0.000000
eig  0.000000  0.477121  0.000000
ein  0.301030  0.000000  0.602060
eit  0.000000  0.301030  0.000000
eja  0.301030  0.000000  0.477121
eje  0.000000  0.602060  0.301030
ejo  0.000000  0.301030  0.477121
ela  1.301030  1.000000  1.000000
elb  0.301030  0.000000  0.477121
elc  0.778151  0.000000  0.477121
eld  0.477121  0.301030  0.301030
ele  0.477121  0.477121  0.301030
elg  0.477121  0.000000  0.000000
elh  0.301030  0.000000  0.000000
eli  0.000000  0.301030  0.000000
ell  0.954243  0.778151  0.301030
elm  0.477121  0.301030  0.301030
eln  0.000000  0.000000  0.301030
elo  0.301030  0.602060  0.845098
elp  0.845098  0.301030  0.477121
elr  0.000000  0.477121  0.000000
els  0.000000  0.301030  0.602060
elt  0.477121  0.778151  0.698970
elv  0.477121  0.301030  0.000000
ema  0.602060  0.301030  0.602060
emb  0.477121  0.301030  0.000000
eme  0.845098  0.602060  0.301030
emi  0.698970  0.301030  0.000000
emo  0.301030  0.301030  0.000000
emp  0.698970  0.602060  0.602060
ems  0.000000  0.000000  0.301030
emt  0.000000  0.000000  0.301030
emu  0.301030  0.000000  0.301030
emx  0.000000  0.301030  0.000000
ena  0.903090  0.602060  0.778151
enc  0.778151  0.602060  0.602060
end  0.698970  0.845098  1.000000
ene  0.845098  0.903090  1.079181
enf  0.000000  0.000000  0.477121
eng  0.301030  0.477121  0.301030
eni  0.000000  0.301030  0.000000
enl  0.778151  0.477121  0.477121
enm  0.301030  0.000000  0.301030
eno  0.698970  0.602060  0.301030
enp  0.000000  0.301030  0.477121
enq  0.000000  0.301030  0.000000
enr  0.602060  0.000000  0.301030
ens  0.602060  0.602060  0.301030
ent  1.278754  1.255273  1.462398
enu  0.301030  0.000000  0.602060
eny  0.000000  0.000000  0.301030
eod  0.301030  0.301030  0.000000
eol  0.301030  0.000000  0.000000
eon  0.000000  0.000000  0.301030
eor  0.301030  0.000000  0.000000
eos  0.000000  0.301030  0.301030
eot  0.301030  0.000000  0.000000
