      Texto 1   Texto 2   Texto 3
con  0.000000  0.000000  0.000000
cop  0.000000  0.000000  0.143628
cor  0.137026  0.084017  0.000000
cos  0.000000  0.000000  0.000000
coy  0.000000  0.143628  0.000000
cpu  0.143628  0.000000  0.000000
cre  0.000000  0.000000  0.000000
cri  0.000000  0.000000  0.000000
cta  0.143628  0.000000  0.000000
cti  0.000000  0.143628  0.000000
cto  0.053009  0.000000  0.053009
ctu  0.000000  0.053009  0.053009
cua  0.000000  0.000000  0.000000
cuc  0.000000  0.000000  0.143628
cue  0.000000  0.000000  0.000000
cul  0.000000  0.053009  0.084017
cun  0.287256  0.000000  0.000000
cur  0.000000  0.084017  0.084017
daa  0.000000  0.000000  0.143628
dab  0.084017  0.000000  0.084017
dac  0.000000  0.000000  0.000000
dad  0.000000  0.000000  0.000000
dae  0.000000  0.000000  0.000000
dai  0.000000  0.000000  0.143628
daj  0.143628  0.000000  0.000000
dal  0.000000  0.000000  0.143628
dan  0.106018  0.084017  0.000000
dao  0.143628  0.000000  0.000000
dap  0.000000  0.000000  0.227645
das  0.000000  0.000000  0.000000
dav  0.000000  0.143628  0.000000
day  0.000000  0.053009  0.053009
dce  0.000000  0.143628  0.000000
dde  0.000000  0.000000  0.000000
ddi  0.143628  0.000000  0.000000
dea  0.084017  0.000000  0.159026
deb  0.000000  0.137026  0.084017
dec  0.000000  0.000000  0.000000
ded  0.000000  0.053009  0.053009
dee  0.000000  0.053009  0.148814
def  0.053009  0.000000  0.053009
dei  0.000000  0.000000  0.227645
dej  0.053009  0.000000  0.084017
del  0.000000  0.000000  0.000000
dem  0.000000  0.000000  0.000000
den  0.000000  0.000000  0.000000
deo  0.143628  0.000000  0.000000
dep  0.000000  0.000000  0.000000
deq  0.000000  0.000000  0.143628
der  0.000000  0.000000  0.000000
des  0.000000  0.000000  0.000000
det  0.000000  0.137026  0.084017
deu  0.000000  0.106018  0.106018
dev  0.000000  0.000000  0.000000
dey  0.053009  0.053009  0.000000
dhe  0.000000  0.143628  0.000000
dia  0.106018  0.000000  0.159026
dic  0.000000  0.000000  0.000000
did  0.000000  0.143628  0.000000
die  0.106018  0.000000  0.159026
dif  0.000000  0.143628  0.000000
dij  0.084017  0.053009  0.000000
dil  0.000000  0.143628  0.000000
dir  0.053009  0.000000  0.084017
dis  0.000000  0.000000  0.000000
dit  0.000000  0.143628  0.000000
div  0.000000  0.143628  0.000000
dmi  0.000000  0.143628  0.000000
doa  0.000000  0.084017  0.084017
doc  0.000000  0.000000  0.000000
dod  0.000000  0.000000  0.000000
doe  0.000000  0.000000  0.000000
dol  0.000000  0.000000  0.000000
dom  0.053009  0.106018  0.000000
don  0.084017  0.106018  0.000000
dop  0.000000  0.000000  0.000000
doq  0.053009  0.053009  0.000000
dor  0.000000  0.143628  0.000000
dos  0.000000  0.000000  0.000000
dot  0.143628  0.000000  0.000000
dou  0.053009  0.000000  0.053009
dqu  0.143628  0.000000  0.000000
dra  0.000000  0.053009  0.106018
dre  0.403214  0.000000  0.000000
dst  0.000000  0.000000  0.143628
duc  0.084017  0.000000  0.106018
